"fert_sex" "Mito" "result"
0.05 2 0
0.05 4 0
0.05 6 0
0.05 8 0
0.05 10 0
0.05 12 0
0.05 14 0
0.05 16 0
0.05 18 0
0.05 20 0
0.05 50 0
0.05 160 0
0.05 200 0
0.1 2 0
0.1 4 0
0.1 6 0
0.1 8 0
0.1 10 0
0.1 12 0
0.1 14 0
0.1 16 0
0.1 18 0
0.1 20 0
0.1 50 0
0.1 160 0
0.1 200 0
0.15 2 0
0.15 4 0
0.15 6 0
0.15 8 0
0.15 10 0
0.15 12 0
0.15 14 0
0.15 16 0
0.15 18 0
0.15 20 0
0.15 50 0
0.15 160 0
0.15 200 0
0.2 2 0
0.2 4 0.00302372212676659
0.2 6 0
0.2 8 0
0.2 10 0
0.2 12 0
0.2 14 0
0.2 16 0
0.2 18 0
0.2 20 0
0.2 50 0
0.2 160 0
0.2 200 0
0.25 2 0
0.25 4 0.0135224964410407
0.25 6 0
0.25 8 0
0.25 10 0
0.25 12 0
0.25 14 0
0.25 16 0
0.25 18 0
0.25 20 0
0.25 50 0
0.25 160 0
0.25 200 0
0.3 2 0
0.3 4 0.0247269543716351
0.3 6 0
0.3 8 0
0.3 10 0
0.3 12 0
0.3 14 0
0.3 16 0
0.3 18 0
0.3 20 0
0.3 50 0
0.3 160 0
0.3 200 0
0.35 2 0
0.35 4 0.0369754210829373
0.35 6 0
0.35 8 0
0.35 10 0
0.35 12 0
0.35 14 0
0.35 16 0
0.35 18 0
0.35 20 0
0.35 50 0
0.35 160 0
0.35 200 0
0.4 2 0
0.4 4 0.0569394317378346
0.4 6 0
0.4 8 0
0.4 10 0
0.4 12 0
0.4 14 0
0.4 16 0
0.4 18 0
0.4 20 0
0.4 50 0
0.4 160 0
0.4 200 0
0.45 2 0
0.45 4 0.073841307296975
0.45 6 0
0.45 8 0
0.45 10 0
0.45 12 0
0.45 14 0
0.45 16 0
0.45 18 0
0.45 20 0
0.45 50 0
0.45 160 0
0.45 200 0
0.5 2 0
0.5 4 0.0957603280698574
0.5 6 0
0.5 8 0
0.5 10 0
0.5 12 0
0.5 14 0
0.5 16 0
0.5 18 0
0.5 20 0
0.5 50 0
0.5 160 0
0.5 200 0
0.55 2 0
0.55 4 0.135224964410407
0.55 6 0.0165359110076254
0.55 8 0
0.55 10 0
0.55 12 0
0.55 14 0
0.55 16 0
0.55 18 0
0.55 20 0
0.55 50 0
0.55 160 0
0.55 200 0
0.6 2 0
0.6 4 0.165359110076254
0.6 6 0.0452151919701206
0.6 8 0
0.6 10 0
0.6 12 0
0.6 14 0
0.6 16 0
0.6 18 0
0.6 20 0
0.6 50 0
0.6 160 0
0.6 200 0
0.65 2 0
0.65 4 0.202208485721784
0.65 6 0.087812608018665
0.65 8 0
0.65 10 0
0.65 12 0
0.65 14 0
0.65 16 0
0.65 18 0
0.65 20 0
0.65 50 0
0.65 160 0
0.65 200 0
0.7 2 0
0.7 4 0.302372212676659
0.7 6 0.135224964410407
0.7 8 0.0202208485721785
0.7 10 0
0.7 12 0
0.7 14 0
0.7 16 0
0.7 18 0
0.7 20 0
0.7 50 0
0.7 160 0
0.7 200 0
0.75 2 0
0.75 4 0.369754210829373
0.75 6 0.202208485721784
0.75 8 0.0805245165974627
0.75 10 0.00247269543716351
0.75 12 0
0.75 14 0
0.75 16 0
0.75 18 0
0.75 20 0
0.75 50 0
0.75 160 0
0.75 200 0
0.8 2 0
0.8 4 0.522136891213707
0.8 6 0.302372212676659
0.8 8 0.165359110076254
0.8 10 0.0805245165974627
0.8 12 0.0247269543716351
0.8 14 0
0.8 16 0
0.8 18 0
0.8 20 0
0.8 50 0
0.8 160 0
0.8 200 0
0.85 2 0
0.85 4 0.73841307296975
0.85 6 0.522136891213707
0.85 8 0.302372212676659
0.85 10 0.202208485721784
0.85 12 0.165359110076254
0.85 14 0.110582301703024
0.85 16 0.073841307296975
0.85 18 0.0522136891213707
0.85 20 0.0369754210829373
0.85 50 0
0.85 160 0
0.85 200 0
0.9 2 0.247269543716351
0.9 4 1
0.9 6 0.87812608018665
0.9 8 0.620928906036742
0.9 10 0.452151919701206
0.9 12 0.369754210829373
0.9 14 0.369754210829373
0.9 16 0.302372212676659
0.9 18 0.247269543716351
0.9 20 0.247269543716351
0.9 50 0.135224964410407
0.9 160 0.0620928906036742
0.9 200 0.0569394317378346
0.95 2 1
0.95 4 1
0.95 6 1
0.95 8 1
0.95 10 1
0.95 12 1
0.95 14 1
0.95 16 0.957603280698574
0.95 18 0.87812608018665
0.95 20 0.805245165974627
0.95 50 0.522136891213707
0.95 160 0.302372212676659
0.95 200 0.247269543716351
1 2 1
1 4 1
1 6 1
1 8 1
1 10 1
1 12 1
1 14 1
1 16 1
1 18 1
1 20 1
1 50 1
1 160 1
1 200 1
